hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000328,AMEOS Klinikum Dr. Heines Bremen,8.941,53.0756,Rockwinkeler Landstr. 110,28325,Bremen,Bremen,"AMEOS Klinikum Dr. Heines Bremen, Rockwinkeler Landstraße 110, 28325 Bremen",Bremen,4250024.268275391,3330204.616052911,10000,38.258950890549016,7,4245024.268275391,4255024.268275391,3325204.616052911,3335204.616052911
K000000329,Paracelsus-Klinik Bremen,8.8774,53.0796,In der Vahr 65,28329,Bremen,Bremen,"Paracelsus-Klinik Bremen, In der Vahr 65, 28329 Bremen",Bremen,4245769.027778482,3330713.7133909715,10000,41.988211047268216,10,4240769.027778482,4250769.027778482,3325713.7133909715,3335713.7133909715
K000000330,Klinikum Bremerhaven Reinkenheide gGmbH,8.6367,53.5379,Postbrookstr. 103,27574,Bremerhaven,Bremen,"Klinikum Bremerhaven Reinkenheide gGmbH, Postbrookstraße 103, 27574 Bremerhaven",Bremen,4230608.799332071,3381982.548899763,10000,20.038936338854647,4,4225608.799332071,4235608.799332071,3376982.548899763,3386982.548899763
K000000331,AMEOS Klinikum Am Bürgerpark Bremerhaven,8.6046,53.5324,Schiffdorfer Chaussee 29,27574,Bremerhaven,Bremen,"AMEOS Klinikum Am Bürgerpark Bremerhaven, Schiffdorfer Chaussee 29, 27574 Bremerhaven",Bremen,4228468.845567085,3381411.076379253,10000,18.547192902940807,4,4223468.845567085,4233468.845567085,3376411.076379253,3386411.076379253
K000000332,AMEOS Klinikum Mitte Bremerhaven,8.5761,53.552,Wiener Str. 1,27568,Bremerhaven,Bremen,"AMEOS Klinikum Mitte Bremerhaven, Wiener Str. 1, 27568 Bremerhaven",Bremen,4226622.597973177,3383628.601281427,10000,19.208638427837947,6,4221622.597973177,4231622.597973177,3378628.601281427,3388628.601281427
K000000333,ARCHE Klinik,8.6039,53.5335,Robert-Blum-Str. 7-9,27574,Bremerhaven,Bremen,"ARCHE Klinik, Robert-Blum-Straße 7-9, 27574 Bremerhaven",Bremen,4228424.819480354,3381534.3616288006,10000,18.360677852437178,4,4223424.819480354,4233424.819480354,3376534.3616288006,3386534.3616288006
K000000334,Universitätsklinikum Düsseldorf,6.788,51.1982,Moorenstr. 5,40225,Düsseldorf,Nordrhein-Westfalen,"Universitätsklinikum Düsseldorf, Moorenstraße 5, 40225 Düsseldorf",Nordrhein,4096568.3425240507,3125724.300470491,10000,41.03052229260019,15,4091568.3425240507,4101568.3425240507,3120724.300470491,3130724.300470491
K000000335,"Sana Kliniken Düsseldorf, Standort Gerresheim",6.8575,51.2431,Gräulinger Str. 120,40625,Düsseldorf,Nordrhein-Westfalen,"Sana Kliniken Düsseldorf, Standort Gerresheim, Gräulinger Str. 120, 40625 Düsseldorf",Nordrhein,4101634.9497766397,3130504.5093878414,10000,59.43987996798354,16,4096634.9497766397,4106634.9497766397,3125504.5093878414,3135504.5093878414
K000000336,"Sana Kliniken Düsseldorf, Standort Benrath",6.8708,51.1524,Urdenbacher Allee 83,40593,Düsseldorf,Nordrhein-Westfalen,"Sana Kliniken Düsseldorf, Standort Benrath, Urdenbacher Allee 83, 40593 Düsseldorf",Nordrhein,4102132.4861197677,3120381.9516335907,10000,23.150278111482685,5,4097132.4861197677,4107132.4861197677,3115381.9516335907,3125381.9516335907
K000000337,St. Martinus-Krankenhaus Düsseldorf,6.7606,51.2117,Gladbacher Str. 26,40219,Düsseldorf,Nordrhein-Westfalen,"St. Martinus-Krankenhaus Düsseldorf, Gladbacher Strasse 26, 40219 Düsseldorf",Nordrhein,4094721.561763071,3127309.454454378,10000,35.18843483247296,14,4089721.561763071,4099721.561763071,3122309.454454378,3132309.454454378
