hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,autobahn_length_in_cell_km_1939,autobahn_segments_hitting_cell_1939,x_min,x_max,y_min,y_max
K000001336,"München Klinik Neuperlach, Städtisches Klinikum München GmbH",11.6573,48.0938,Oskar-Maria-Graf-Ring 51,81737,München,Bayern,"München Klinik Neuperlach, Städtisches Klinikum München GmbH, Oskar-Maria-Graf-Ring 51, 81737 München",Bayern,4444502.9584923135,2776967.0496259276,30000,18.202747606167843,1,4429502.9584923135,4459502.9584923135,2761967.0496259276,2791967.0496259276
K000001337,"München Klinik Harlaching, München Klinik gGmbH",11.5584,48.085,Sanatoriumsplatz 2,81545,München,Bayern,"München Klinik Harlaching, München Klinik gGmbH, Sanatoriumsplatz 2, 81545 München",Bayern,4437154.266428158,2775828.8387511256,30000,28.42757778714446,2,4422154.266428158,4452154.266428158,2760828.8387511256,2790828.8387511256
K000001338,"München Klinik Bogenhausen, München Klinik gGmbH",11.6235,48.1558,Englschalkinger Str. 77,81925,München,Bayern,"München Klinik Bogenhausen, München Klinik gGmbH, Englschalkinger Str. 77, 81925 München",Bayern,4441837.04445711,2783800.304780308,30000,19.737253901699237,3,4426837.04445711,4456837.04445711,2768800.304780308,2798800.304780308
K000001339,Capio Deutsche Klinik Laufen GmbH,12.9075,47.9145,Abtsee 31,83410,Laufen,Bayern,"Capio Deutsche Klinik Laufen GmbH, Abtsee 31, 83410 Laufen",Bayern,4538388.553392708,2759931.5527548064,30000,15.887773252101349,1,4523388.553392708,4553388.553392708,2744931.5527548064,2774931.5527548064
K000001340,VAMED Klinik Kipfenberg GmbH,11.3947,48.9522,Konrad-Regler-Str. 1,85110,Kipfenberg,Bayern,"VAMED Klinik Kipfenberg GmbH, Konrad-Regler-Straße 1, 85110 Kipfenberg",Bayern,4423173.540462153,2871965.720595553,30000,40.38855485608541,2,4408173.540462153,4438173.540462153,2856965.720595553,2886965.720595553
K000001341,Artemed Fachklinik München,11.5552,48.1302,Mozartstr. 14a-16,80336,München,Bayern,"Artemed Fachklinik München, Mozartstraße 14a-16, 80336 München",Bayern,4436812.746478108,2780846.2893833644,30000,26.64055006196763,3,4421812.746478108,4451812.746478108,2765846.2893833644,2795846.2893833644
K000001342,Klinik Bad Trissl GmbH,12.1554,47.6582,Bad-Trissl-Str. 73,83080,Oberaudorf,Bayern,"Klinik Bad Trissl GmbH, Bad-Trissl-Str. 73, 83080 Oberaudorf",Bayern,4482983.743232225,2729535.3914125133,30000,0.0,0,4467983.743232225,4497983.743232225,2714535.3914125133,2744535.3914125133
K000001343,Chirurgische Klinik München-Bogenhausen,11.6146,48.1487,Denninger Str. 44,81679,München,Bayern,"Chirurgische Klinik München-Bogenhausen, Denninger Str. 44, 81679 München",Bayern,4441191.552863502,2782996.851558427,30000,20.664597650084037,3,4426191.552863502,4456191.552863502,2767996.851558427,2797996.851558427
K000001344,Schön Klinik München Harlaching,11.5673,48.1043,Harlachinger Str. 51,81547,München,Bayern,"Schön Klinik München Harlaching, Harlachinger Straße 51, 81547 München",Bayern,4437773.170407297,2777987.4050044306,30000,25.92870342530436,2,4422773.170407297,4452773.170407297,2762987.4050044306,2792987.4050044306
K000001345,Isar Kliniken GmbH,11.5648,48.1355,Sonnenstr. 24-26,80331,München,Bayern,"Isar Kliniken GmbH, Sonnenstraße 24-26, 80331 München",Bayern,4437515.356345565,2781450.310144762,30000,25.67026142135042,3,4422515.356345565,4452515.356345565,2766450.310144762,2796450.310144762
K000001346,kbo-Inn-Salzach-Klinikum Rosenheim,12.1256,47.8622,Freiherr-vom-Stein-Str. 2,83022,Rosenheim,Bayern,"kbo-Inn-Salzach-Klinikum Rosenheim, Freiherr-vom-Stein-Straße 2, 83022 Rosenheim",Bayern,4480111.727845655,2752131.304831888,30000,30.877741661414095,1,4465111.727845655,4495111.727845655,2737131.304831888,2767131.304831888
K000001347,Krankenhaus Agatharied GmbH,11.829,47.769,Norbert-Kerkel-Platz 1,83734,Hausham,Bayern,"Krankenhaus Agatharied GmbH, Norbert-Kerkel-Platz 1, 83734 Hausham",Bayern,4458164.427469811,2741183.577511452,30000,27.704325146884234,2,4443164.427469811,4473164.427469811,2726183.577511452,2756183.577511452
K000001348,kbo-Lech-Mangfall-Klinik Agatharied,11.8287,47.7686,St.-Agatha-Str. 1a,83734,Hausham/Obb.,Bayern,"kbo-Lech-Mangfall-Klinik Agatharied, St.-Agatha-Str. 1a, 83734 Hausham/Obb.",Bayern,4458143.0027017305,2741138.5844752323,30000,27.6358763375713,2,4443143.0027017305,4473143.0027017305,2726138.5844752323,2756138.5844752323
K000001349,Klinik für Schlafstörungen GmbH,12.8812,47.7264,Rinckstr.  - ab April 2020 Traunfeldstr. 13 7-9,83435,Bad Reichenhall,Bayern,"Klinik für Schlafstörungen GmbH, Rinckstr.  - ab April 2020 Traunfeldstr. 13 7-9, 83435 Bad Reichenhall",Bayern,4537215.14426131,2738965.2441956876,30000,21.385078895663018,2,4522215.14426131,4552215.14426131,2723965.2441956876,2753965.2441956876
K000001351,Asklepios Fachkliniken München-Gauting,11.3534,48.0663,Robert-Koch-Allee 2,82131,Gauting,Bayern,"Asklepios Fachkliniken München-Gauting, Robert-Koch-Allee 2, 82131 Gauting",Bayern,4421913.930207136,2773449.808459197,30000,5.366118275520544,1,4406913.930207136,4436913.930207136,2758449.808459197,2788449.808459197
K000001352,kbo-Lech-Mangfall-Klinik Landsberg am Lech,10.8548,48.0476,Bgm.-Dr.-Hartmann-Str. 50-52,86899,Landsberg am Lech,Bayern,"kbo-Lech-Mangfall-Klinik Landsberg am Lech, Bgm.-Dr.-Hartmann-Str. 50-52, 86899 Landsberg am Lech",Bayern,4384762.560718159,2770816.186295258,30000,0.0,0,4369762.560718159,4399762.560718159,2755816.186295258,2785816.186295258
K000001354,kbo-Lech-Mangfall-Klinik Garmisch-Partenkirchen,11.1271,47.4828,Auenstr. 6,82467,Garmisch-Partenkirchen,Bayern,"kbo-Lech-Mangfall-Klinik Garmisch-Partenkirchen, Auenstrasse 6, 82467 Garmisch-Partenkirchen",Bayern,4406002.454096118,2708334.5646621296,30000,0.0,0,4391002.454096118,4421002.454096118,2693334.5646621296,2723334.5646621296
K000001355,kbo-Lech-Mangfall-Klinik Peißenberg,11.0719,47.8002,Hauptstr. 55-57,82380,Peißenberg,Bayern,"kbo-Lech-Mangfall-Klinik Peißenberg, Hauptstrasse 55-57, 82380 Peißenberg",Bayern,4401343.617027374,2743536.7747547003,30000,0.0,0,4386343.617027374,4416343.617027374,2728536.7747547003,2758536.7747547003
K000001356,Georg-von-Liebig-Krankenhaus,12.8833,47.7287,Rinckstr. 7 - 9,83435,Bad Reichenhall,Bayern,"Georg-von-Liebig-Krankenhaus, Rinckstraße 7 - 9, 83435 Bad Reichenhall",Bayern,4537362.9647547435,2739226.7984668217,30000,21.222897543937158,2,4522362.9647547435,4552362.9647547435,2724226.7984668217,2754226.7984668217
K000001357,Klinik St. Irmingard,12.3647,47.8617,Osternacher Str. 103,83209,Prien am Chiemsee,Bayern,"Klinik St. Irmingard, Osternacher Straße 103, 83209 Prien am Chiemsee",Bayern,4498004.63906552,2752619.225589385,30000,31.962842497300578,1,4483004.63906552,4513004.63906552,2737619.225589385,2767619.225589385
K000001358,CJD Asthmazentrum Berchtesgaden,13.0642,47.6315,Buchenhöhe 46,83471,Berchtesgaden,Bayern,"CJD Asthmazentrum Berchtesgaden, Buchenhöhe 46, 83471 Berchtesgaden",Bayern,4551363.551827843,2728979.6173445806,30000,2.851603009855469,2,4536363.551827843,4566363.551827843,2713979.6173445806,2743979.6173445806
K000001359,Danuvius Klinik Pfaffenhofen,11.5004,48.5173,Krankenhausstr. 68,85276,Pfaffenhofen,Bayern,"Danuvius Klinik Pfaffenhofen, Krankenhausstraße 68, 85276 Pfaffenhofen",Bayern,4431879.048738101,2823779.7820237232,30000,33.28756883867115,1,4416879.048738101,4446879.048738101,2808779.7820237232,2838779.7820237232
K000001360,Danuvius Klinik Neuburg,11.1769,48.731,Bahnhofstr. B107,86633,Neuburg / Donau,Bayern,"Danuvius Klinik Neuburg, Bahnhofstraße B107, 86633 Neuburg / Donau",Bayern,4407604.326107473,2847098.709811434,30000,0.0,0,4392604.326107473,4422604.326107473,2832098.709811434,2862098.709811434
K000001361,Danuvius Klinik Ingolstadt,11.4238,48.76,Preysingstr. 3-5,85049,Ingolstadt,Bayern,"Danuvius Klinik Ingolstadt, Preysingstraße 3-5, 85049 Ingolstadt",Bayern,4425709.580850451,2850642.5359195084,30000,31.302066840160055,1,4410709.580850451,4440709.580850451,2835642.5359195084,2865642.5359195084
K000001362,LMU Klinikum,11.4711,48.111,Marchioninistr. 15,81377,München,Bayern,"LMU Klinikum, Marchioninistraße 15, 81377 München",Bayern,4430592.370945623,2778584.513659374,30000,25.79167204184871,3,4415592.370945623,4445592.370945623,2763584.513659374,2793584.513659374
K000001364,Klinik Hochried,11.1802,47.6758,Hochried 1-12,82418,Murnau,Bayern,"Klinik Hochried, Hochried 1-12, 82418 Murnau",Bayern,4409674.767637154,2729838.7764489464,30000,0.0,0,4394674.767637154,4424674.767637154,2714838.7764489464,2744838.7764489464
K000001365,MediCare Flughafen München Medizinisches Zentrum GmbH - AirportClinic M,11.7873,48.3539,"Terminalstr. West Terminal 1, Mod. E, Eb. 03",85356,München-Flughafen,Bayern,"MediCare Flughafen München Medizinisches Zentrum GmbH - AirportClinic M, Terminalstraße West Terminal 1, Mod. E, Eb. 03, 85356 München-Flughafen",Bayern,4453506.173832295,2806094.179301169,30000,26.651285372707722,1,4438506.173832295,4468506.173832295,2791094.179301169,2821094.179301169
K000001366,Krankenhaus Martha-Maria München,11.5345,48.0852,Wolfratshauser Str. 109,81479,München,Bayern,"Krankenhaus Martha-Maria München, Wolfratshauser Straße 109, 81479 München",Bayern,4435372.74266469,2775813.7765485262,30000,28.4212036284935,2,4420372.74266469,4450372.74266469,2760813.7765485262,2790813.7765485262
K000001367,Rotkreuzklinikum München,11.5326,48.1541,Nymphenburger Str. 163,80634,München,Bayern,"Rotkreuzklinikum München, Nymphenburger Straße 163, 80634 München",Bayern,4435076.328871535,2783466.8604766764,30000,28.682316560017533,3,4420076.328871535,4450076.328871535,2768466.8604766764,2798466.8604766764
K000001368,Rotkreuzklinikum München - Frauenklinik,11.5322,48.1612,Taxisstr. 3,80637,München,Bayern,"Rotkreuzklinikum München - Frauenklinik, Taxisstraße 3, 80637 München",Bayern,4435030.603784177,2784255.1933650393,30000,28.703574137237084,3,4420030.603784177,4450030.603784177,2769255.1933650393,2799255.1933650393
